,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
g__unknown_18;,1.1221763642428542,0.26240790942883147,0.2957042957042957,0.8222829801777171,1.0
g__unknown_192;,0.06279821870558577,0.9499560954537641,0.948051948051948,0.9734667368255154,1.0
g__unknown_195;,0.43158123827612327,0.6662601061437611,0.6253746253746254,0.8924385223317608,1.0
g__unknown_196;,-1.0096319023338347,0.31323423298664543,0.3196803196803197,0.8292662751261478,1.0
g__unknown_199;,2.3868059796206493,0.017422875937989454,0.008991008991008992,0.24035964035964036,0.999
g__unknown_19;,-0.3598248502785261,0.7191531448321682,0.7512487512487512,0.9128810583356037,1.0
g__unknown_202;,0.36958919503846427,0.7118688692697869,0.7252747252747253,0.9128810583356037,1.0
g__unknown_205;,-0.42064606079784095,0.6742217607146342,0.6873126873126874,0.9128810583356037,1.0
g__unknown_207;,-0.8459347991417892,0.39805527537506813,0.3886113886113886,0.8407198182982936,1.0
g__unknown_20;,-1.3495821770361776,0.1778535857936469,0.2017982017982018,0.7434547434547434,1.0
g__unknown_211;,-1.030502557486508,0.30334808764257437,0.27972027972027974,0.8212287712287712,1.0
g__unknown_212;,1.463224323352516,0.1441298388466334,0.12687312687312688,0.6890309690309689,1.0
g__unknown_216;,0.9981217860247537,0.31877647485157956,0.35264735264735264,0.8407198182982936,1.0
g__unknown_218;,0.33757187537208744,0.7358490476494988,0.7252747252747253,0.9128810583356037,1.0
g__unknown_219;,-1.1036330433357069,0.270363894015519,0.27972027972027974,0.8212287712287712,1.0
g__unknown_21;,0.6629111583176122,0.5077393671452934,0.5154845154845155,0.8738813928687347,1.0
g__unknown_221;,1.1612977615698135,0.24615913608730142,0.23476523476523475,0.7846451069591565,1.0
g__unknown_224;,0.010744892899492372,0.9914319181399338,0.994005994005994,0.9989884801914877,1.0
g__unknown_226;,-1.67099539016541,0.0954434735646189,0.058941058941058944,0.5090950715950716,1.0
g__unknown_228;,-0.19538010450255172,0.845186827866696,0.8451548451548452,0.9343680842318445,1.0
g__unknown_229;,1.5770248716581243,0.11551839331055169,0.10989010989010989,0.6737353555535375,1.0
g__unknown_22;,0.5159008655778518,0.6061863682726969,0.6463536463536463,0.9030934222571853,1.0
g__unknown_231;,-1.639512649521059,0.10183114820640798,0.08091908091908091,0.5870853284646388,1.0
g__unknown_232;,-0.19679123473114363,0.8440830317468454,0.8191808191808192,0.9332399444131287,1.0
g__unknown_234;,-0.24633241003685602,0.8055413863105305,0.7822177822177823,0.9280748576936261,1.0
g__unknown_236;,0.2521438392347939,0.8010492487545418,0.7362637362637363,0.9128810583356037,1.0
g__unknown_238;,-0.9397250629539236,0.3478813173467169,0.35064935064935066,0.8407198182982936,1.0
g__unknown_23;,-0.23574826447004626,0.8137392219887453,0.8281718281718282,0.9332399444131287,1.0
g__unknown_240;,-0.9056892280600907,0.3656028854909429,0.34665334665334663,0.8407198182982936,1.0
g__unknown_241;,-0.5102534025356625,0.6101333481506679,0.5524475524475524,0.879093129093129,1.0
g__unknown_243;,1.0160635318188378,0.3101652226943843,0.3096903096903097,0.8222829801777171,1.0
g__unknown_248;,-0.08877088695424294,0.9293049431522936,0.9330669330669331,0.9643294849480417,1.0
g__unknown_24;,1.2388746672268467,0.21606151556851488,0.1938061938061938,0.7434547434547434,1.0
g__unknown_250;,1.0649365474334507,0.2874967547537316,0.3006993006993007,0.8222829801777171,1.0
g__unknown_256;,0.5895073141676139,0.5558277556173095,0.5454545454545454,0.879093129093129,1.0
g__unknown_257;,-1.1928801442981043,0.23356805307344197,0.19880119880119881,0.7434547434547434,1.0
