,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
5859c644498bf396619fcca4ed014b8d,0.8686956876584581,0.3854937237903743,0.37362637362637363,0.8612279739040304,1.0
4f9106b58ba967a459b11a9d6f9ca4e0,2.540336114576163,0.01142211365847827,0.014985014985014986,0.4586038961038962,1.0
17a39cb7fa5ca613bb6ca2103e761946,0.8722519466733711,0.3835532397299114,0.3986013986013986,0.8726459829291424,1.0
632f712701a6269e41c3ee600d0f3791,-0.010682018296620018,0.9914820530414097,0.9920079920079921,0.999085671676239,1.0
3adfcfa6caaacaa41dc7571330a74676,0.3655870291414184,0.7148513698864987,0.7392607392607392,0.964119654595845,1.0
90e9bc60e823aba36dffc54fe72c51e1,0.01094871511934512,0.9912693947727103,0.987012987012987,0.999085671676239,1.0
0246885cf7157b74ba80daf1b827b996,0.5812484673343329,0.5613747435116097,0.5704295704295704,0.9364099152517862,1.0
409f711b59152d57926cf444c5577087,-0.26242427573726645,0.7931188768153896,0.7832167832167832,0.9705248416284642,1.0
44cae38ace30f54ee81cc5c5b2ce47eb,-0.49664080194769156,0.6196938317125138,0.6093906093906094,0.9520337530489815,1.0
b978450e75ae38f47e8e4fadc48bbd0b,0.9331211477158142,0.3512762505550341,0.34765234765234765,0.8423829460013671,1.0
a9fb6c06ed691c214e5470c4826ce39a,-1.1971626714233299,0.23189664271518654,0.23676323676323677,0.7864131384310756,1.0
47d12ada7044a2a12b1695782ac82f58,0.235764032438882,0.8137269935965905,0.8131868131868132,0.9811571407316089,1.0
c29919216bd6a6713038fd18691cc505,-0.5825010208011707,0.5605317501663392,0.5604395604395604,0.9353866853866853,1.0
b8f980ec6ad0c86efb83bd1f64c3a252,-0.11593480818096345,0.907757832520959,0.8951048951048951,0.993884422455851,1.0
208134d9710bcf4724a053b364b131ae,-0.6429937490307845,0.5205677174507919,0.5414585414585414,0.9272214429008854,1.0
63331571011d0c5d564b93cf586fd64b,-2.0118894729538437,0.044849094931934896,0.04095904095904096,0.5393495393495394,1.0
030e36497ce2fd1e74aaf812d492c8db,1.3419798432304304,0.18030417537969656,0.21078921078921078,0.7550348202522116,1.0
63ae69e5112e904373fa2c6a38d8a5b9,0.9382138122739451,0.34865636623120966,0.34765234765234765,0.8423829460013671,1.0
520887a54cc76670a5f7f2e64a8a651b,0.9646919229755431,0.33523635948046926,0.35364635364635366,0.8488668194550547,1.0
e322286588d2effda49041d07069629b,-1.7912710537093828,0.07394647074635698,0.060939060939060936,0.5812953280485748,1.0
de27ea82f312513237f4366fe4121b20,0.06581798890210565,0.9475530414122042,0.9530469530469531,0.9980853638711775,1.0
