"","Kingdom","Phylum","Class","Order","Family","Rank6","Rank7","Genus","Species","Rank5","Rank3","Rank4","Rank2"
"2941399","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1130212","Bacteria","Verrucomicrobia","[Pedosphaerae]","Arctic97B-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4392110","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43373","Bacteria","Spirochaetes","[Brachyspirae]","[Brachyspirales]","Brachyspiraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4435984","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"677165","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"570623","Bacteria","Cyanobacteria","Oscillatoriophycideae","Chroococcales","Xenococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"675509","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"248902","Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"1123395","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Promicromonosporaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4414344","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4423978","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4376318","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4330545","Bacteria","Acidobacteria","[Chloracidobacteria]","RB41",NA,NA,NA,NA,NA,NA,NA,NA,NA
